packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
24.0,20.0,9609.0,5576.0,2.0,5.0,7.0,4.0,11.0,11.0,8617.0,4764.0,55.0,58.0,417.0,96.0,1360.0,1360.0,571.0,588.0,69.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13473.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12361.0,4764.0,49.0,58.0,417.0,96.0,1360.0,1360.0,583.0,588.0,68.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,24.0,13562.0,7091.0,2.0,5.0,10.0,5.0,14.0,12.0,12418.0,6119.0,66.0,67.0,417.0,96.0,1360.0,1360.0,583.0,636.0,93.0,132.0,amazon-amazon-echo-dot-with-clock-gen3
29.0,21.0,13774.0,5661.0,2.0,6.0,10.0,4.0,14.0,12.0,12570.0,4809.0,46.0,56.0,417.0,96.0,1360.0,1360.0,583.0,597.0,68.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12568.0,4764.0,47.0,53.0,417.0,96.0,1360.0,1360.0,583.0,588.0,67.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13685.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12573.0,4764.0,51.0,61.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,66.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13665.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12553.0,4764.0,49.0,55.0,417.0,96.0,1360.0,1360.0,583.0,588.0,69.0,62.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13682.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,12570.0,4764.0,48.0,51.0,417.0,96.0,1360.0,2720.0,583.0,843.0,66.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13676.0,5576.0,2.0,5.0,10.0,3.0,14.0,10.0,12564.0,4764.0,48.0,57.0,417.0,96.0,1360.0,2720.0,583.0,843.0,65.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,19.0,13680.0,5536.0,2.0,5.0,10.0,4.0,14.0,11.0,12568.0,4764.0,47.0,59.0,417.0,96.0,1360.0,1360.0,583.0,588.0,66.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13951.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12839.0,4764.0,48.0,54.0,417.0,96.0,1360.0,1360.0,584.0,588.0,66.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12568.0,4764.0,49.0,55.0,417.0,96.0,1360.0,1360.0,583.0,588.0,68.0,70.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13676.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12564.0,4764.0,52.0,62.0,417.0,96.0,1360.0,1360.0,583.0,588.0,80.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13682.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12570.0,4764.0,47.0,51.0,417.0,96.0,1360.0,1360.0,583.0,588.0,65.0,70.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13419.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,12307.0,4764.0,49.0,53.0,417.0,96.0,1360.0,2715.0,583.0,842.0,70.0,83.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13674.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12562.0,4764.0,49.0,58.0,417.0,96.0,1360.0,1360.0,583.0,588.0,68.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13680.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12568.0,4764.0,48.0,54.0,417.0,96.0,1360.0,1360.0,583.0,588.0,66.0,68.0,amazon-amazon-echo-dot-with-clock-gen3
28.0,24.0,15074.0,5760.0,2.0,5.0,11.0,4.0,15.0,11.0,13922.0,4764.0,48.0,48.0,417.0,96.0,1360.0,1360.0,585.0,588.0,70.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13678.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12566.0,4764.0,48.0,56.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,23.0,13682.0,5708.0,2.0,5.0,10.0,4.0,14.0,11.0,12570.0,4764.0,48.0,49.0,417.0,96.0,1360.0,1360.0,583.0,588.0,67.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
28.0,22.0,14968.0,5656.0,2.0,5.0,11.0,4.0,15.0,11.0,13816.0,4764.0,49.0,54.0,417.0,96.0,1360.0,1360.0,584.0,588.0,73.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,19.0,13554.0,5536.0,2.0,5.0,10.0,3.0,14.0,10.0,12442.0,4764.0,51.0,64.0,417.0,96.0,1360.0,2715.0,583.0,842.0,76.0,89.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,23.0,13651.0,5696.0,2.0,5.0,10.0,4.0,14.0,11.0,12539.0,4764.0,54.0,56.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13655.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12543.0,4764.0,47.0,53.0,417.0,96.0,1360.0,1360.0,583.0,588.0,66.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,19.0,13835.0,5536.0,2.0,5.0,10.0,4.0,14.0,11.0,12723.0,4764.0,49.0,61.0,417.0,96.0,1360.0,1360.0,584.0,588.0,67.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13771.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12659.0,4764.0,49.0,52.0,417.0,96.0,1360.0,1360.0,584.0,588.0,69.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,23.0,13820.0,5696.0,2.0,5.0,10.0,4.0,14.0,11.0,12708.0,4764.0,51.0,52.0,417.0,96.0,1360.0,1360.0,584.0,588.0,67.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13771.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12659.0,4764.0,50.0,59.0,417.0,96.0,1360.0,1360.0,584.0,588.0,67.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13699.0,5576.0,2.0,5.0,10.0,3.0,14.0,10.0,12587.0,4764.0,49.0,58.0,417.0,96.0,1360.0,2720.0,583.0,843.0,67.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13564.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12452.0,4764.0,48.0,53.0,417.0,96.0,1360.0,1360.0,583.0,588.0,65.0,70.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,20.0,13435.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12323.0,4764.0,49.0,59.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,18.0,13978.0,5496.0,2.0,5.0,10.0,2.0,14.0,9.0,12866.0,4764.0,48.0,64.0,417.0,96.0,1360.0,4075.0,584.0,1257.0,66.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,17.0,2171.0,5456.0,2.0,5.0,2.0,3.0,6.0,10.0,1379.0,4764.0,75.0,73.0,417.0,96.0,618.0,2715.0,217.0,842.0,77.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,14073.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12961.0,4764.0,46.0,52.0,417.0,96.0,1360.0,1360.0,584.0,588.0,68.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13561.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12449.0,4764.0,49.0,55.0,417.0,96.0,1360.0,1360.0,583.0,588.0,69.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,21.0,13426.0,5616.0,2.0,5.0,10.0,4.0,14.0,11.0,12314.0,4764.0,48.0,53.0,417.0,96.0,1360.0,1360.0,583.0,588.0,65.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
28.0,20.0,14604.0,5576.0,2.0,5.0,11.0,2.0,15.0,9.0,13452.0,4764.0,47.0,58.0,417.0,96.0,1360.0,4075.0,583.0,1257.0,68.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
26.0,20.0,14018.0,5576.0,2.0,5.0,10.0,4.0,14.0,11.0,12946.0,4764.0,50.0,56.0,417.0,96.0,1360.0,1360.0,584.0,588.0,66.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13634.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12522.0,4764.0,50.0,54.0,417.0,96.0,1360.0,1360.0,583.0,588.0,72.0,65.0,amazon-amazon-echo-dot-with-clock-gen3
