,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11654,21.0,19.0,1937.0,7199.0,0.0,6.0,1.0,7.0,3.0,14.0,1053.0,6427.0,656.0,498.0,190.0,96.0,737.0,1460.0,274.0,627.0,606.0,471.0,amazon-fire-tv-stick-4k
11655,19.0,18.0,1981.0,7081.0,0.0,5.0,1.0,7.0,3.0,13.0,1189.0,6349.0,807.0,509.0,190.0,96.0,873.0,1460.0,338.0,624.0,775.0,491.0,amazon-fire-tv-stick-4k
11656,14.0,13.0,1738.0,7561.0,0.0,3.0,1.0,6.0,3.0,9.0,1134.0,7029.0,1103.0,1174.0,177.0,1460.0,831.0,1460.0,320.0,605.0,1021.0,1112.0,amazon-fire-tv-stick-4k
11657,19.0,17.0,1686.0,6656.0,0.0,5.0,1.0,6.0,3.0,12.0,894.0,5964.0,1727.0,541.0,190.0,96.0,578.0,1928.0,199.0,712.0,1693.0,503.0,amazon-fire-tv-stick-4k
11658,3086.0,6381.0,161141.0,9689950.0,1.0,0.0,1.0,6374.0,4.0,6375.0,661.0,9358130.0,18.0,8.0,196.0,1438.0,308.0,4314.0,101.0,413.0,68.0,98.0,amazon-fire-tv-stick-4k
11659,370.0,830.0,19894.0,1321339.0,1.0,0.0,1.0,823.0,4.0,824.0,646.0,1278171.0,137.0,61.0,196.0,1438.0,293.0,7190.0,95.0,612.0,120.0,66.0,amazon-fire-tv-stick-4k
11660,32.0,28.0,28210.0,11277.0,0.0,1.0,19.0,8.0,21.0,10.0,26886.0,10145.0,41.0,3282.0,193.0,1460.0,1460.0,1572.0,526.0,588.0,79.0,3229.0,amazon-fire-tv-stick-4k
11661,17.0,14.0,2801.0,10290.0,0.0,1.0,2.0,9.0,4.0,10.0,2077.0,9718.0,1554.0,1898.0,183.0,1460.0,884.0,2368.0,365.0,631.0,1456.0,1807.0,amazon-fire-tv-stick-4k
11662,11.0,12.0,1749.0,8361.0,0.0,1.0,1.0,7.0,3.0,8.0,1277.0,7869.0,89.0,9697.0,183.0,1460.0,968.0,1460.0,384.0,498.0,90.0,9624.0,amazon-fire-tv-stick-4k
11663,19.0,16.0,1671.0,6704.0,0.0,5.0,1.0,5.0,3.0,11.0,879.0,6052.0,6311.0,575.0,190.0,96.0,563.0,3388.0,192.0,1019.0,6272.0,536.0,amazon-fire-tv-stick-4k
